gender,age,age_partner,importance_same_religion,pref_of_partner_attractive,pref_of_partner_sincere,pref_of_partner_intelligence,pref_of_partner_funny,pref_of_partner_ambitious,pref_of_partner_shared_interests,eval_by_partner_attractive,eval_by_partner_sincere,eval_by_partner_intelligence,eval_by_partner_funny,eval_by_partner_ambitous,eval_by_partner_shared_interests,my_pref_attractive,my_pref_sincere,my_pref_intellicence,my_pref_funny,my_pref_ambtition,my_pref_shared_interests,my_eval_attractive,my_eval_sincere,my_eval_intelligence,my_eval_funny,my_eval_ambition,my_eval_shared_interests,interests_correlate,expected_happy_with_couple_match,how_much_i_liked,guess_prob_liked,married
female,23,25,1,50,0,30,10,0,10,6,6,7,7,8,7,20,20,20,20,10,10,5,10,8,4,8,2,0.37,1,4,3,0
female,23,30,1,35,15,25,10,5,10,7,6,3,5,6,5,20,20,20,20,10,10,7,10,10,7,10,5,0.35,1,5,1,0
female,23,27,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,20,20,20,20,10,10,5,9,9,5,9,7,0.15,1,6,6,0
female,23,28,1,50,0,25,10,0,15,7,7,7,10,9,10,20,20,20,20,10,10,9,8,10,10,7,8,-0.47,1,8,8,1
female,23,24,1,100,0,0,0,0,0,7,8,8,7,8,7,20,20,20,20,10,10,8,9,10,10,8,8,-0.19,1,10,8,0
female,21,27,1,35,20,20,20,0,5,6,8,8,8,7,6,20,5,25,25,10,15,5,8,8,2,2,2,-0.43,7,7,5,0
female,21,22,1,60,0,0,40,0,0,6,7,10,7,6,5,20,5,25,25,10,15,8,6,6,5,5,5,0,7,6,4,0
female,21,22,1,19,18,19,18,14,12,10,10,10,10,10,10,20,5,25,25,10,15,4,6,8,8,6,5,-0.17,7,6,5,0
female,21,23,1,30,5,15,40,5,5,6,8,6,8,10,10,20,5,25,25,10,15,8,5,5,7,7,9,0.08,7,8,2,1
female,21,24,1,30,10,20,10,10,20,5,9,9,7,9,5,20,5,25,25,10,15,6,7,7,5,4,8,-0.16,7,7,4,0
female,21,25,1,50,0,30,10,0,10,5,8,7,7,7,7,20,5,25,25,10,15,5,6,7,5,7,8,0.06,7,7,3,0
female,21,30,1,35,15,25,10,5,10,2,3,4,4,5,3,20,5,25,25,10,15,6,6,8,5,5,6,-0.05,7,6,3,0
female,21,27,1,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,20,5,25,25,10,15,5,5,7,6,7,5,0.07,7,6,4,0
female,21,28,1,50,0,25,10,0,15,5,9,9,9,9,6,20,5,25,25,10,15,7,5,7,8,7,9,-0.13,7,9,4,1
female,21,24,1,100,0,0,0,0,0,3,10,7,7,10,5,20,5,25,25,10,15,9,6,7,9,6,5,-0.06,7,10,3,0
female,23,27,1,35,20,20,20,0,5,7,9,8,9,8,4,10,25,20,25,5,15,6,9,7,6,7,6,0.33,4,6,6,0
female,23,22,1,60,0,0,40,0,0,6,8,10,6,7,6,10,25,20,25,5,15,6,9,9,6,8,2,0.37,4,7,6,0
female,23,22,1,19,18,19,18,14,12,10,10,10,10,10,10,10,25,20,25,5,15,4,7,9,4,3,2,-0.51,4,6,2,0
female,23,23,1,30,5,15,40,5,5,6,8,8,7,9,8,10,25,20,25,5,15,8,6,7,8,2,8,0.12,4,9,4,1
female,23,24,1,30,10,20,10,10,20,9,7,9,7,9,6,10,25,20,25,5,15,5,4,8,8,4,2,0.35,4,4,3,0
female,23,25,1,50,0,30,10,0,10,6,6,8,8,8,7,10,25,20,25,5,15,3,7,6,1,1,1,0.19,4,2,2,0
female,23,30,1,35,15,25,10,5,10,5,6,8,4,5,4,10,25,20,25,5,15,8,8,8,8,3,4,0.47,4,8,7,0
female,23,27,1,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,10,25,20,25,5,15,4,8,9,2,8,3,0.03,4,5,5,0
female,23,28,1,50,0,25,10,0,15,6,7,7,6,6,6,10,25,20,25,5,15,7,6,8,8,6,9,0.46,4,9,6,1
female,23,24,1,100,0,0,0,0,0,7,10,10,6,10,7,10,25,20,25,5,15,8,9,9,9,10,7,0.43,4,9,8,0
female,22,27,4,35,20,20,20,0,5,7,8,8,8,7,7,15,15,25,20,15,10,4,8,8,5,7,4,0.19,7,7,4,0
female,22,22,4,60,0,0,40,0,0,7,9,10,6,6,5,15,15,25,20,15,10,6,6,8,4,9,4,0.21,7,7,3,0
female,22,22,4,19,18,19,18,14,12,10,10,10,10,10,10,15,15,25,20,15,10,3,6,8,7,8,8,0.52,7,7,8,0
female,22,23,4,30,5,15,40,5,5,8,8,9,8,9,9,15,15,25,20,15,10,7,8,8,7,7,6,-0.46,7,8,6,1
female,22,24,4,30,10,20,10,10,20,8,7,9,6,9,5,15,15,25,20,15,10,4,7,7,4,8,5,-0.27,7,5,6,0
female,22,25,4,50,0,30,10,0,10,8,8,8,6,6,6,15,15,25,20,15,10,4,8,7,4,5,4,0.59,7,5,5,0
female,22,30,4,35,15,25,10,5,10,7,6,5,4,4,3,15,15,25,20,15,10,7,7,8,7,7,7,0.31,7,8,7,0
female,22,27,4,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,15,15,25,20,15,10,5,7,8,5,9,5,0.08,7,5,7,0
female,22,28,4,50,0,25,10,0,15,9,7,9,9,9,10,15,15,25,20,15,10,6,6,8,8,8,6,-0.34,7,6,6,1
female,22,24,4,100,0,0,0,0,0,7,6,8,6,8,7,15,15,25,20,15,10,8,6,7,7,8,6,-0.16,7,7,5,0
female,25,27,1,35,20,20,20,0,5,8,7,6,6,6,5,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,4,7,5,-0.03,6,4,5,0
female,25,22,1,60,0,0,40,0,0,8,8,10,7,6,5,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,-0.11,6,8,7,1
female,25,22,1,19,18,19,18,14,12,10,10,10,10,10,10,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,0.42,6,5,5,1
female,25,23,1,30,5,15,40,5,5,8,8,8,8,8,7,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,-0.4,6,5,6,1
female,25,24,1,30,10,20,10,10,20,9,9,8,9,5,7,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,-0.23,6,6,5,1
female,25,25,1,50,0,30,10,0,10,8,7,7,7,8,7,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,0.28,6,6,5,1
female,25,30,1,35,15,25,10,5,10,6,4,7,5,6,4,9.09,18.18,27.27,18.18,18.18,9.09,6,7,8,5,7,7,0.05,6,6,6,0
female,25,27,1,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,0.17,6,5,4,1
female,25,28,1,50,0,25,10,0,15,8,7,8,10,8,10,9.09,18.18,27.27,18.18,18.18,9.09,8,8,5,9,8,9,-0.47,6,7,10,1
female,25,24,1,100,0,0,0,0,0,8,10,9,9,8,8,9.09,18.18,27.27,18.18,18.18,9.09,7,6,8,7,9,8,-0.21,6,8,7,1
female,26,27,1,35,20,20,20,0,5,6,8,7,8,7,5,20,10,20,30,10,10,8,10,9,8,7,6,0.19,6,5,5,0
female,26,22,1,60,0,0,40,0,0,8,8,10,7,6,5,20,10,20,30,10,10,10,10,10,10,10,10,0.03,6,10,5,1
female,26,22,1,19,18,19,18,14,12,10,10,10,10,10,10,20,10,20,30,10,10,5,10,10,6,6,6,0.68,6,8,5,1
female,26,23,1,30,5,15,40,5,5,7,8,7,8,8,7,20,10,20,30,10,10,10,9,8,8,7,7,-0.26,6,7,5,1
female,26,24,1,30,10,20,10,10,20,7,9,8,9,7,7,20,10,20,30,10,10,5,10,8,8,5,5,-0.01,6,5,5,1
female,26,25,1,50,0,30,10,0,10,6,6,7,8,7,7,20,10,20,30,10,10,8,9,9,7,6,5,0.42,6,6,5,1
female,26,30,1,35,15,25,10,5,10,8,6,7,8,6,5,20,10,20,30,10,10,6,8,9,6,6,6,0.21,6,7,5,1
female,26,27,1,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,20,10,20,30,10,10,6,7,8,7,9,6,0.1,6,7,5,0
female,26,28,1,50,0,25,10,0,15,6,6,6,7,6,6,20,10,20,30,10,10,8,5,5,6,5,5,-0.35,6,7,6,1
female,26,24,1,100,0,0,0,0,0,5,6,6,6,6,6,20,10,20,30,10,10,7,8,7,8,7,8,-0.23,6,8,5,0
female,26,27,4,35,20,20,20,0,5,7,8,7,8,6,5,15,15,15,40,10,5,6,10,10,6,6,5,0.3,7,6,3,0
female,26,22,4,60,0,0,40,0,0,1,1,1,1,1,1,15,15,15,40,10,5,1,1,1,1,1,5,0.65,7,1,1,0
female,26,22,4,19,18,19,18,14,12,10,10,10,10,10,10,15,15,15,40,10,5,6,10,10,10,6,5,-0.15,7,7,6,1
female,26,23,4,30,5,15,40,5,5,7,8,7,9,8,8,15,15,15,40,10,5,10,10,10,10,10,5,0.17,7,10,1,0
female,26,24,4,30,10,20,10,10,20,6,9,9,7,8,5,15,15,15,40,10,5,5,7,7,7,7,5,0.24,7,6,1,0
female,26,25,4,50,0,30,10,0,10,5,8,7,7,7,7,15,15,15,40,10,5,5,10,6,4,6,5,0.15,7,6,1,0
female,26,30,4,35,15,25,10,5,10,7,7,4,3,4,4,15,15,15,40,10,5,5,10,8,6,9,5,0.41,7,7,1,0
female,26,27,4,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,15,15,15,40,10,5,5,6,6,4,5,5,0.07,7,5,5,0
female,26,28,4,50,0,25,10,0,15,7,7,7,7,6,6,15,15,15,40,10,5,9,9,9,9,9,9,0.49,7,9,9,1
female,26,24,4,100,0,0,0,0,0,6,6,6,6,6,6,15,15,15,40,10,5,9,9,8,10,8,8,0.08,7,9,10,1
male,27,21,3,15,20,20,15,15,15,6,9,7,7,6,5,35,20,20,20,0,5,6,8,8,8,8,6,0.14,7,7,4,0
male,27,24,3,45,5,25,20,0,5,5,7,8,4,6,3,35,20,20,20,0,5,8,7,6,9,7,4,0.29,7,7,2,0
male,27,25,3,35,10,35,10,10,0,7,9,10,7,8,9,35,20,20,20,0,5,7,8,6,5,8,4,-0.24,7,5,2,0
male,27,23,3,20,20,20,20,10,10,4,10,8,5,8,7,35,20,20,20,0,5,6,7,8,7,7,5,-0.18,7,6,3,0
male,27,21,3,20,5,25,25,10,15,5,8,8,2,2,2,35,20,20,20,0,5,6,8,8,8,7,6,-0.43,7,6,5,0
male,27,23,3,10,25,20,25,5,15,6,9,7,6,7,6,35,20,20,20,0,5,7,9,8,9,8,4,0.33,7,7,4,0
male,27,22,3,15,15,25,20,15,10,4,8,8,5,7,4,35,20,20,20,0,5,7,8,8,8,7,7,0.19,7,7,4,0
male,27,25,3,9.09,18.18,27.27,18.18,18.18,9.09,5,8,7,4,7,5,35,20,20,20,0,5,8,7,6,6,6,5,-0.03,7,7,4,0
male,27,26,3,20,10,20,30,10,10,8,10,9,8,7,6,35,20,20,20,0,5,6,8,7,8,7,5,0.19,7,6,4,0
male,27,26,3,15,15,15,40,10,5,6,10,10,6,6,5,35,20,20,20,0,5,7,8,7,8,6,5,0.3,7,6,3,0
male,22,21,1,15,20,20,15,15,15,7,8,7,8,5,6,60,0,0,40,0,0,7,8,10,7,7,5,0.54,7,8,4,0
male,22,24,1,45,5,25,20,0,5,8,5,6,6,9,6,60,0,0,40,0,0,7,6,10,6,6,5,0.18,7,8,4,0
male,22,25,1,35,10,35,10,10,0,9,7,9,8,9,7,60,0,0,40,0,0,6,7,10,6,6,5,-0.14,7,7,3,0
male,22,23,1,20,20,20,20,10,10,8,7,8,10,7,8,60,0,0,40,0,0,6,5,10,6,6,5,-0.18,7,6,3,0
male,22,21,1,20,5,25,25,10,15,8,6,6,5,5,5,60,0,0,40,0,0,6,7,10,7,6,5,0,7,7,4,0
male,22,23,1,10,25,20,25,5,15,6,9,9,6,8,2,60,0,0,40,0,0,6,8,10,6,7,6,0.37,7,7,4,0
male,22,22,1,15,15,25,20,15,10,6,6,8,4,9,4,60,0,0,40,0,0,7,9,10,6,6,5,0.21,7,8,4,0
male,22,25,1,9.09,18.18,27.27,18.18,18.18,9.09,8,7,7,9,6,7,60,0,0,40,0,0,8,8,10,7,6,5,-0.11,7,9,4,1
male,22,26,1,20,10,20,30,10,10,10,10,10,10,10,10,60,0,0,40,0,0,8,8,10,7,6,5,0.03,7,8,4,1
male,22,26,1,15,15,15,40,10,5,1,1,1,1,1,5,60,0,0,40,0,0,1,1,1,1,1,1,0.65,7,1,1,0
male,22,21,5,15,20,20,15,15,15,5,8,9,8,5,7,19,18,19,18,14,12,10,10,10,10,10,10,0.16,3,10,10,1
male,22,24,5,45,5,25,20,0,5,5,8,9,6,3,4,19,18,19,18,14,12,10,10,10,10,10,10,0.1,3,10,10,0
male,22,25,5,35,10,35,10,10,0,7,9,9,7,9,7,19,18,19,18,14,12,10,10,10,10,10,10,0.09,3,10,10,0
male,22,23,5,20,20,20,20,10,10,4,7,8,8,6,7,19,18,19,18,14,12,10,10,10,10,10,10,0.05,3,10,10,0
male,22,21,5,20,5,25,25,10,15,4,6,8,8,6,5,19,18,19,18,14,12,10,10,10,10,10,10,-0.17,3,10,10,0
male,22,23,5,10,25,20,25,5,15,4,7,9,4,3,2,19,18,19,18,14,12,10,10,10,10,10,10,-0.51,3,10,10,0
male,22,22,5,15,15,25,20,15,10,3,6,8,7,8,8,19,18,19,18,14,12,10,10,10,10,10,10,0.52,3,10,10,0
male,22,25,5,9.09,18.18,27.27,18.18,18.18,9.09,5,8,8,6,7,7,19,18,19,18,14,12,10,10,10,10,10,10,0.42,3,10,10,1
male,22,26,5,20,10,20,30,10,10,5,10,10,6,6,6,19,18,19,18,14,12,10,10,10,10,10,10,0.68,3,10,10,1
male,22,26,5,15,15,15,40,10,5,6,10,10,10,6,5,19,18,19,18,14,12,10,10,10,10,10,10,-0.15,3,10,10,1
male,23,21,1,15,20,20,15,15,15,7,6,8,7,6,8,30,5,15,40,5,5,7,8,9,8,9,8,0.61,8,7,7,1
male,23,24,1,45,5,25,20,0,5,7,9,7,6,5,7,30,5,15,40,5,5,9,9,9,9,9,9,-0.21,8,9,7,1
male,23,25,1,35,10,35,10,10,0,9,7,9,7,9,7,30,5,15,40,5,5,7,9,8,8,8,8,-0.04,8,7,7,0
male,23,23,1,20,20,20,20,10,10,8,10,7,10,7,10,30,5,15,40,5,5,7,7,7,9,9,9,-0.18,8,8,10,1
male,23,21,1,20,5,25,25,10,15,8,5,5,7,7,9,30,5,15,40,5,5,6,8,6,8,10,10,0.08,8,7,7,1
male,23,23,1,10,25,20,25,5,15,8,6,7,8,2,8,30,5,15,40,5,5,6,8,8,7,9,8,0.12,8,7,7,1
male,23,22,1,15,15,25,20,15,10,7,8,8,7,7,6,30,5,15,40,5,5,8,8,9,8,9,9,-0.46,8,8,7,1
male,23,25,1,9.09,18.18,27.27,18.18,18.18,9.09,8,6,5,6,6,5,30,5,15,40,5,5,8,8,8,8,8,7,-0.4,8,8,7,1
male,23,26,1,20,10,20,30,10,10,10,9,8,8,7,7,30,5,15,40,5,5,7,8,7,8,8,7,-0.26,8,7,7,1
male,23,26,1,15,15,15,40,10,5,10,10,10,10,10,5,30,5,15,40,5,5,7,8,7,9,8,8,0.17,8,7,7,0
male,24,21,1,15,20,20,15,15,15,5,6,7,7,6,6,30,10,20,10,10,20,8,7,9,6,9,7,0.21,5,8,6,1
male,24,24,1,45,5,25,20,0,5,6,8,7,9,7,8,30,10,20,10,10,20,10,10,10,10,7,8,0.32,5,10,1,0
male,24,25,1,35,10,35,10,10,0,9,10,10,10,10,10,30,10,20,10,10,20,6,10,8,6,5,5,-0.14,5,6,1,0
male,24,23,1,20,20,20,20,10,10,6,9,8,9,8,9,30,10,20,10,10,20,8,8,9,8,8,9,0.21,5,9,7,0
male,24,21,1,20,5,25,25,10,15,6,7,7,5,4,8,30,10,20,10,10,20,5,9,9,7,9,5,-0.16,5,5,7,0
male,24,23,1,10,25,20,25,5,15,5,4,8,8,4,2,30,10,20,10,10,20,9,7,9,7,9,6,0.35,5,9,2,0
male,24,22,1,15,15,25,20,15,10,4,7,7,4,8,5,30,10,20,10,10,20,8,7,9,6,9,5,-0.27,5,8,4,0
male,24,25,1,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,30,10,20,10,10,20,9,9,8,9,5,7,-0.23,5,9,7,1
male,24,26,1,20,10,20,30,10,10,5,10,8,8,5,5,30,10,20,10,10,20,7,9,8,9,7,7,-0.01,5,7,8,1
male,24,26,1,15,15,15,40,10,5,5,7,7,7,7,5,30,10,20,10,10,20,6,9,9,7,8,5,0.24,5,6,6,0
male,25,21,2,15,20,20,15,15,15,4,9,7,4,6,4,50,0,30,10,0,10,7,7,8,8,7,7,0.25,7,7,6,0
male,25,24,2,45,5,25,20,0,5,8,7,8,3,6,2,50,0,30,10,0,10,7,8,7,5,7,7,0.73,7,7,5,0
male,25,25,2,35,10,35,10,10,0,8,10,10,7,9,9,50,0,30,10,0,10,7,6,6,6,6,6,-0.3,7,6,7,0
male,25,23,2,20,20,20,20,10,10,5,10,8,4,8,2,50,0,30,10,0,10,6,6,7,7,8,7,0.37,7,6,6,0
male,25,21,2,20,5,25,25,10,15,5,6,7,5,7,8,50,0,30,10,0,10,5,8,7,7,7,7,0.06,7,6,7,0
male,25,23,2,10,25,20,25,5,15,3,7,6,1,1,1,50,0,30,10,0,10,6,6,8,8,8,7,0.19,7,6,6,0
male,25,22,2,15,15,25,20,15,10,4,8,7,4,5,4,50,0,30,10,0,10,8,8,8,6,6,6,0.59,7,7,7,0
male,25,25,2,9.09,18.18,27.27,18.18,18.18,9.09,6,8,8,5,6,7,50,0,30,10,0,10,8,7,7,7,8,7,0.28,7,7,6,1
male,25,26,2,20,10,20,30,10,10,8,9,9,7,6,5,50,0,30,10,0,10,6,6,7,8,7,7,0.42,7,6,5,1
male,25,26,2,15,15,15,40,10,5,5,10,6,4,6,5,50,0,30,10,0,10,5,8,7,7,7,7,0.15,7,6,6,0
male,30,21,1,15,20,20,15,15,15,7,6,7,4,6,7,35,15,25,10,5,10,3,6,7,5,8,7,0.34,4,2,1,0
male,30,24,1,45,5,25,20,0,5,7,5,9,6,7,9,35,15,25,10,5,10,5,3,4,3,5,3,0.6,4,4,3,0
male,30,25,1,35,10,35,10,10,0,8,9,10,7,7,9,35,15,25,10,5,10,6,3,5,4,5,4,-0.26,4,2,2,0
male,30,23,1,20,20,20,20,10,10,7,10,10,7,10,5,35,15,25,10,5,10,7,6,3,5,6,5,0.35,4,6,4,0
male,30,21,1,20,5,25,25,10,15,6,6,8,5,5,6,35,15,25,10,5,10,2,3,4,4,5,3,-0.05,4,3,3,0
male,30,23,1,10,25,20,25,5,15,8,8,8,8,3,4,35,15,25,10,5,10,5,6,8,4,5,4,0.47,4,3,3,0
male,30,22,1,15,15,25,20,15,10,7,7,8,7,7,7,35,15,25,10,5,10,7,6,5,4,4,3,0.31,4,5,4,0
male,30,25,1,9.09,18.18,27.27,18.18,18.18,9.09,6,7,8,5,7,7,35,15,25,10,5,10,6,4,7,5,6,4,0.05,4,4,4,0
male,30,26,1,20,10,20,30,10,10,6,8,9,6,6,6,35,15,25,10,5,10,8,6,7,8,6,5,0.21,4,8,4,1
male,30,26,1,15,15,15,40,10,5,5,10,8,6,9,5,35,15,25,10,5,10,7,7,4,3,4,4,0.41,4,3,6,0
male,27,21,8,15,20,20,15,15,15,4,9,7,6,5,6,33.33,11.11,11.11,11.11,11.11,22.22,6,7,5,6,8,6,0.5,5,7,5,0
male,27,24,8,45,5,25,20,0,5,5,8,7,5,9,5,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,7,5,0.07,5,7,6,0
male,27,25,8,35,10,35,10,10,0,7,9,9,8,9,7,33.33,11.11,11.11,11.11,11.11,22.22,4,5,6,4,6,4,0.29,5,5,1,0
male,27,23,8,20,20,20,20,10,10,5,9,9,5,9,7,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,6,6,5,0.15,5,7,7,0
male,27,21,8,20,5,25,25,10,15,5,5,7,6,7,5,33.33,11.11,11.11,11.11,11.11,22.22,5,5,6,5,5,5,0.07,5,6,5,0
male,27,23,8,10,25,20,25,5,15,4,8,9,2,8,3,33.33,11.11,11.11,11.11,11.11,22.22,6,7,8,7,8,5,0.03,5,7,6,0
male,27,22,8,15,15,25,20,15,10,5,7,8,5,9,5,33.33,11.11,11.11,11.11,11.11,22.22,8,7,6,7,7,5,0.08,5,7,5,0
male,27,25,8,9.09,18.18,27.27,18.18,18.18,9.09,5,6,7,4,5,6,33.33,11.11,11.11,11.11,11.11,22.22,9,8,8,8,7,5,0.17,5,7,5,1
male,27,26,8,20,10,20,30,10,10,6,7,8,7,9,6,33.33,11.11,11.11,11.11,11.11,22.22,7,7,7,7,6,5,0.1,5,7,5,0
male,27,26,8,15,15,15,40,10,5,5,6,6,4,5,5,33.33,11.11,11.11,11.11,11.11,22.22,6,6,6,6,6,5,0.07,5,7,6,0
male,28,21,1,15,20,20,15,15,15,7,6,8,9,8,8,50,0,25,10,0,15,7,7,8,8,8,9,0.28,10,6.5,8,1
male,28,24,1,45,5,25,20,0,5,7,6,8,9,4,5,50,0,25,10,0,15,8,6,9,9,8,7,0.11,10,8,8,1
male,28,25,1,35,10,35,10,10,0,9,9,9,9,9,9,50,0,25,10,0,15,7,7,6,8,7,7,-0.15,10,7,7,0
male,28,23,1,20,20,20,20,10,10,9,8,10,10,7,8,50,0,25,10,0,15,7,7,7,10,9,10,-0.47,10,8,8,1
male,28,21,1,20,5,25,25,10,15,7,5,7,8,7,9,50,0,25,10,0,15,5,9,9,9,9,6,-0.13,10,7,7,1
male,28,23,1,10,25,20,25,5,15,7,6,8,8,6,9,50,0,25,10,0,15,6,7,7,6,6,6,0.46,10,6,6,1
male,28,22,1,15,15,25,20,15,10,6,6,8,8,8,6,50,0,25,10,0,15,9,7,9,9,9,10,-0.34,10,9,9,1
male,28,25,1,9.09,18.18,27.27,18.18,18.18,9.09,8,8,5,9,8,9,50,0,25,10,0,15,8,7,8,10,8,10,-0.47,10,8,8,1
